"상세지역 보고서(2026.08.01.~2026.08.31.),2580077"
상세지역,일별,노출수,클릭수,클릭률(%),평균 CPC,총비용,평균노출순위,총 전환수,직접전환수,간접전환수,총 전환율(%),총 전환매출액(원),직접전환매출액(원),간접전환매출액(원),총 전환당비용(원),총 광고수익률(%),구매완료 전환수,구매완료 전환매출액(원),구매완료 광고수익률(%)
강원특별자치도 강릉시,2026.08.27.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 강릉시,2026.08.29.,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 강릉시,2026.08.31.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 동해시,2026.08.30.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 동해시,2026.08.31.,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 속초시,2026.08.27.,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 양구군,2026.08.29.,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 양양군,2026.08.30.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 원주시,2026.08.26.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 원주시,2026.08.29.,2,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 원주시,2026.08.30.,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 원주시,2026.08.31.,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 춘천시,2026.08.26.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 춘천시,2026.08.29.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 홍천군,2026.08.29.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도 홍천군,2026.08.31.,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
경기도 가평군,2026.08.31.,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 덕양구,2026.08.27.,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 덕양구,2026.08.28.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 덕양구,2026.08.29.,2,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 덕양구,2026.08.30.,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 덕양구,2026.08.31.,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 일산동구,2026.08.28.,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 일산동구,2026.08.29.,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 일산서구,2026.08.28.,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 일산서구,2026.08.29.,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
경기도 고양시 일산서구,2026.08.31.,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
