"시간대별 보고서(2026.08.01.~2026.08.31.),2580077"
시간대별,노출수,클릭수,클릭률(%),평균 CPC,총비용,평균노출순위,총 전환수,총 전환율(%),총 전환매출액(원)
00시~01시,28,2,7.14,467,935,3.5,0,0,0
01시~02시,7,2,28.57,402,805,2.4,0,0,0
02시~03시,3,0,0,0,0,3,0,0,0
03시~04시,1,0,0,0,0,6,0,0,0
04시~05시,2,0,0,0,0,4.5,0,0,0
05시~06시,6,0,0,0,0,3.3,0,0,0
06시~07시,25,0,0,0,0,2.7,0,0,0
07시~08시,38,1,2.63,480,480,3.7,0,0,0
08시~09시,100,3,3,668,2005,3.5,0,0,0
09시~10시,81,3,3.7,942,2827,3,0,0,0
10시~11시,103,3,2.91,726,2179,2.9,0,0,0
11시~12시,132,2,1.52,806,1613,3.1,0,0,0
12시~13시,135,1,0.74,1072,1072,3,0,0,0
13시~14시,163,2,1.23,753,1506,3.5,0,0,0
14시~15시,167,2,1.2,474,947,4.2,0,0,0
15시~16시,148,5,3.38,451,2255,3.5,0,0,0
16시~17시,140,3,2.14,719,2157,3.6,0,0,0
17시~18시,143,2,1.4,894,1788,3.5,0,0,0
18시~19시,158,1,0.63,497,497,2.6,0,0,0
19시~20시,164,4,2.44,1063,4250,3.2,0,0,0
20시~21시,158,3,1.9,872,2617,2.6,0,0,0
21시~22시,190,2,1.05,1170,2339,2.7,0,0,0
22시~23시,165,6,3.64,697,4184,2.4,0,0,0
23시~00시,106,3,2.83,647,1940,3.1,0,0,0
